raceethnicity,year,city,state,latitude,longitude,state_fp,armed
White,2015,Beacon,NY,41.517724,-73.979344,36,Firearm
Hispanic/Latino,2015,Evans,CO,40.3840446,-104.6920242,8,Firearm
White,2015,Powder Springs,GA,33.9112854,-84.69478609999999,13,No
Hispanic/Latino,2015,Roma,TX,26.5522499,-99.13320920000001,48,Firearm
White,2015,Snohomish,WA,47.8377751,-122.0135761,53,Knife
Black,2015,Anaheim,CA,33.820074700000006,-117.941376,6,Firearm
White,2015,Vancouver,WA,45.6310601,-122.67825500000001,53,Knife
Asian/Pacific Islander,2015,Garland,TX,32.9599406,-96.6389561,48,Vehicle
Black,2015,Aurora,CO,39.7354916,-104.7992847,8,No
Black,2015,Fairfax,VA,38.843990000000005,-77.311132,51,No
White,2015,Ville Platte,LA,30.751305,-92.43799399999999,22,Knife
White,2015,Mounds,OK,35.84183,-95.8906098,40,No
White,2015,Webster,MA,42.058589899999994,-71.8781281,25,No
Black,2015,Cerritos,CA,33.8749829,-118.05035349999999,6,Firearm
White,2015,Des Moines,IA,41.581039700000005,-93.609646,19,Firearm
Black,2015,Atlanta,GA,33.86441,-84.477958,13,Knife
Native American,2015,Phoenix,AZ,33.496246299999996,-112.11534879999999,4,No
White,2015,Gillette,WY,44.301930299999995,-105.44993970000002,56,Firearm
Black,2015,San Antonio,TX,29.5922401,-98.4028975,48,Vehicle
Black,2015,Ridgefield Park,NJ,40.86306,-74.0112915,34,Firearm
Black,2015,New Orleans,LA,29.9412498,-90.0852399,22,Firearm
Hispanic/Latino,2015,Pueblo,CO,38.2854206,-104.57347800000001,8,Firearm
Hispanic/Latino,2015,Los Angeles,CA,34.0383897,-118.2327244,6,No
White,2015,Stockton,CA,37.9297473,-121.2981304,6,Other
Black,2015,Anaheim,CA,33.836670899999994,-117.9137003,6,Knife
White,2015,Weymouth,MA,42.2566948,-70.9316177,25,Firearm
White,2015,Chino,CA,33.95342479999999,-117.6501793,6,No
Hispanic/Latino,2015,Del Rio,TX,29.3685202,-100.8305995,48,No
White,2015,Vallejo,CA,38.1320534,-122.2226868,6,Firearm
White,2015,Boiling Springs,SC,35.022746999999995,-82.0061417,45,Other
Hispanic/Latino,2015,Houston,TX,29.6131928,-95.2134526,48,Firearm
Black,2015,San Jose,CA,37.316599,-121.8759895,6,Firearm
Black,2015,Vineland,NJ,39.4848213,-75.0345688,34,Firearm
White,2015,Bloomington,MN,44.8254901,-93.35840999999999,27,Knife
White,2015,Stillwater,OK,36.1211052,-97.05012509999999,40,Firearm
White,2015,Kansas City,KS,39.1362457,-94.6423798,20,Firearm
White,2015,Minneapolis,MN,45.035038,-93.3867416,27,Other
Black,2015,Fort Worth,TX,32.767036100000006,-97.3038536,48,Firearm
White,2015,Newalla,OK,35.37522020000001,-97.17205990000001,40,No
White,2015,Reading,PA,40.3287582,-75.9080353,42,Firearm
Hispanic/Latino,2015,San Antonio,TX,29.5134506,-98.53582,48,Firearm
Black,2015,Rochester,NY,43.1478502,-77.6309502,36,Firearm
Unknown,2015,Tehachapi,CA,35.1274796,-118.41394809999998,6,Firearm
White,2015,Jourdanton,TX,28.911590000000004,-98.5429517,48,Firearm
White,2015,Topeka,KS,39.053600700000004,-95.76181319999999,20,Firearm
Black,2015,Kenner,LA,29.9859313,-90.2577119,22,Disputed
Black,2015,Fort Meade,MD,39.106651299999996,-76.7348022,24,Firearm
White,2015,Kennewick,WA,46.20137020000001,-119.16800690000001,53,Firearm
White,2015,Grants Pass,OR,42.3600731,-123.4464111,41,Knife
White,2015,Bakersfield,CA,35.3536224,-119.3315506,6,Firearm
White,2015,Lake Jackson,TX,29.0344224,-95.4281493,48,No
White,2015,Austin,TX,30.167617800000002,-97.78916170000001,48,No
